activity,timeStamp,x,y,z,,,
Walking,1.58E+12,-0.31969756,0.6746979,0.003923035,20,,
Walking,1.58E+12,-0.26968232,0.76589966,0.023536682,40,,
Walking,1.58E+12,-0.30596772,0.86985016,0.032362364,19,,
Walking,1.58E+12,-0.26772156,0.88652194,0.032362364,21,,
Walking,1.58E+12,-0.2687027,0.90417325,-0.006864929,21,,
Walking,1.58E+12,-0.30989075,1.0591186,0.04020691,38,,
Walking,1.58E+12,-0.2853729,1.1326675,0.02745819,19,,
Walking,1.58E+12,-0.2853729,1.1218811,0.002941895,20,,
Walking,1.58E+12,-0.2814514,1.0610794,0.021574402,20,,
Walking,1.58E+12,-0.2265335,1.0228332,0.012748718,39,,
Walking,1.58E+12,-0.21770783,1.0365632,0.015690614,20,,
Walking,1.58E+12,-0.19711304,0.9777237,0.015690614,40,,
Walking,1.58E+12,-0.20201722,0.9532059,0.018632507,5,,
Walking,1.58E+12,-0.16181031,1.0532348,0.030400086,34,,
Walking,1.58E+12,-0.1500412,1.0346024,0.017651368,20,,
Walking,1.58E+12,-0.19809417,1.0522537,0.010787964,20,,
Walking,1.58E+12,-0.18730775,1.0846161,0.048052978,40,,
Walking,1.58E+12,-0.19613342,1.0983444,0.06766663,20,,
Walking,1.58E+12,-0.1833847,1.0650024,0.06178131,19,,
Walking,1.58E+12,-0.1647522,1.0444076,0.044129945,21,,
Walking,1.58E+12,-0.14906159,1.039505,0.044129945,21,,
Walking,1.58E+12,-0.13729247,1.050293,0.052955627,39,,
Walking,1.58E+12,-0.12356415,1.0247955,0.058839418,18,,
Walking,1.58E+12,-0.121601865,0.99831694,0.0578598,40,,
Walking,1.58E+12,-0.10296936,1.0051819,0.056878664,20,,
Walking,1.58E+12,-0.087278746,1.0110657,0.07060852,20,,
Walking,1.58E+12,-0.065704346,0.9973358,0.090220645,19,,
Walking,1.58E+12,-0.06668548,0.9934143,0.1039505,40,,
Walking,1.58E+12,-0.071588136,1.0189117,0.15200348,20,,
Walking,1.58E+12,-0.011767578,1.0346024,0.19711304,19,,
Walking,1.58E+12,-0.023536682,1.0453888,0.2530121,40,,
Walking,1.58E+12,-0.037265014,1.0247955,0.21476594,19,,
Walking,1.58E+12,-0.011767578,1.0100845,0.12552491,21,,
Walking,1.58E+12,-0.024516296,1.0326401,0.1470993,20,,
Walking,1.58E+12,0,1.0140076,0.21182403,39,,
Walking,1.58E+12,0.015690614,0.9728195,0.20495911,24,,
Walking,1.58E+12,-0.006864929,0.9228058,0.2324173,35,,
Walking,1.58E+12,-0.021574402,0.9228058,0.24124297,20,,
Walking,1.58E+12,-0.02942047,0.9257477,0.25595397,21,,
Walking,1.58E+12,-0.018632507,0.9139801,0.25889587,19,,
Walking,1.58E+12,-0.012748718,0.8610245,0.2843933,19,,
Walking,1.58E+12,-0.026478577,0.8620041,0.30694884,40,,
Walking,1.58E+12,-0.047071837,0.86985016,0.3422516,20,,
Walking,1.58E+12,-0.16082916,0.89142454,0.34127197,22,,
Walking,1.58E+12,-0.0823761,0.91005707,0.37363282,37,,
Walking,1.58E+12,-0.07355042,0.9179031,0.39618835,20,,
Walking,1.58E+12,-0.08825989,0.92770845,0.3883438,19,,
Walking,1.58E+12,-0.08924103,0.9551681,0.3883438,21,,
Walking,1.58E+12,-0.0823761,0.9728195,0.42658997,19,,
Walking,1.58E+12,0.0460907,1.0463699,0.4579712,40,,
Walking,1.58E+12,0.071588136,1.114035,0.43149263,20,,
Walking,1.58E+12,0.050994873,1.1767975,0.39520875,19,,
Walking,1.58E+12,0.048052978,1.2699616,0.31087035,20,,
Walking,1.58E+12,0.07551117,1.2405411,-0.08629914,40,,
Walking,1.58E+12,0.0578598,1.0532348,-0.06864624,20,,
Walking,1.58E+12,0.011767578,0.85415953,-0.021574402,19,,
Walking,1.58E+12,-0.21770783,0.89436644,-0.27066344,40,,
Walking,1.58E+12,-0.24908905,1.0493119,-0.18240356,20,,
Walking,1.58E+12,-0.17455903,1.0306793,0.008825684,21,,
Walking,1.58E+12,-0.06472321,0.8188553,0.001960754,39,,
Walking,1.58E+12,-0.06374359,0.81689453,-0.084336855,20,,
Walking,1.58E+12,-0.094143674,0.8894638,-0.081394956,22,,
Walking,1.58E+12,-0.13140869,0.9532059,-0.017651368,31,,
Walking,1.58E+12,-0.13042907,0.9561478,0.03530426,27,,
Walking,1.58E+12,-0.10787354,0.92672884,0.02745819,11,,
Walking,1.58E+12,-0.087278746,0.8953476,0.018632507,29,,
Walking,1.58E+12,-0.0794342,0.8835785,0.011767578,8,,
Walking,1.58E+12,-0.09218292,0.90319216,0.003923035,32,,
Walking,1.58E+12,-0.10689239,0.9120178,0.011767578,8,,
Walking,1.58E+12,-0.084336855,0.8894638,-0.021574402,31,,
Walking,1.58E+12,-0.07256927,0.8835785,-0.021574402,8,,
Walking,1.58E+12,-0.101989746,1.0159683,-0.03530426,34,,
Walking,1.58E+12,-0.10787354,1.0689255,-0.05491791,16,,
Walking,1.58E+12,-0.11081543,1.1032486,-0.043148804,20,,
Walking,1.58E+12,-0.16769409,1.1032486,-0.03432312,20,,
Walking,1.58E+12,-0.28733522,1.1052094,-0.016671753,23,,
Walking,1.58E+12,-0.47268066,1.2209275,0.059820555,41,,
Walking,1.58E+12,-0.49719697,1.3003616,0.09610443,17,,
Walking,1.58E+12,-0.35990447,1.1650299,-0.04903259,37,,
Walking,1.58E+12,-0.2843933,1.0051819,-0.09120178,20,,
Walking,1.58E+12,-0.23830108,1.0081238,-0.09610443,20,,
Walking,1.58E+12,-0.10885315,1.1385529,-0.120622255,20,,
Walking,1.58E+12,0.20103607,1.2984009,-0.24320526,43,,
Walking,1.58E+12,0.330484,1.2974198,-0.24124297,16,,
Walking,1.58E+12,0.3383301,1.2572129,-0.13238983,20,,
Walking,1.58E+12,0.11179657,1.1875855,-0.07256927,20,,
Walking,1.58E+12,-0.08825989,1.1150162,0,19,,
Walking,1.58E+12,-0.19319153,0.8590622,0.024516296,40,,
Walking,1.58E+12,-0.20005493,0.8090485,-0.00098114,21,,
Walking,1.58E+12,-0.14023438,0.63252866,-0.013729858,38,,
Walking,1.58E+12,-0.07551117,0.5295593,0.018632507,21,,
Walking,1.58E+12,-0.09316254,0.50112,0.10983429,39,,
Walking,1.58E+12,-0.08825989,0.571727,0.19809417,19,,
Walking,1.58E+12,-0.10885315,0.8129715,0.42855072,40,,
Walking,1.58E+12,-0.17553863,0.93163145,0.46973878,20,,
Walking,1.58E+12,0.010787964,1.2228897,0.40893707,40,,
Walking,1.58E+12,0.14808044,1.3268402,0.40795594,21,,
Walking,1.58E+12,0.3569626,1.2003342,0.47856444,38,,
Walking,1.58E+12,0.39815062,1.2591736,0.4766037,20,,
Walking,1.58E+12,0.39128572,1.4160798,0.27654725,19,,
Walking,1.58E+12,0.19319153,1.6347687,-0.038246155,21,,
Walking,1.58E+12,-0.06864624,1.4003891,-0.38736266,40,,
