activity,timeStamp,x,y,z
Standing,1.576663039316e+12,-0.17651978,-0.71588594,-0.5933029
Standing,1.576663034251e+12,-0.19907531,-0.72275084,-0.586438
Standing,1.576663034536e+12,-0.19515228,-0.7207886,-0.5815338
Standing,1.576663034955e+12,-0.19711304,-0.72667235,-0.5972244
Standing,1.576663035174e+12,-0.19613342,-0.71882784,-0.58251494
Standing,1.576663035351e+12,-0.19319153,-0.71980745,-0.586438
Standing,1.5766630355e+12,-0.16867371,-0.7041168,-0.61977994
Standing,1.576663035539e+12,-0.16867371,-0.7060791,-0.6080124
Standing,1.57666303566e+12,-0.16377106,-0.7070602,-0.6295868
Standing,1.57666303575e+12,-0.1647522,-0.7070602,-0.6168381
Standing,1.576663035946e+12,-0.16867371,-0.7109817,-0.61291504
Standing,1.576663036188e+12,-0.17357787,-0.7149048,-0.6060516
Standing,1.576663036244e+12,-0.16769409,-0.71588594,-0.60997313
Standing,1.576663036489e+12,-0.16867371,-0.71588594,-0.61193544
Standing,1.576663036526e+12,-0.17553863,-0.71588594,-0.6050705
Standing,1.576663036695e+12,-0.16671295,-0.71392363,-0.6168381
Standing,1.576663037194e+12,-0.16082916,-0.709021,-0.6168381
Standing,1.576663037215e+12,-0.16965485,-0.7109817,-0.60997313
Standing,1.576663037604e+12,-0.17946167,-0.7149048,-0.5933029
Standing,1.576663037623e+12,-0.17455903,-0.71686554,-0.58741915
Standing,1.576663037702e+12,-0.17946167,-0.7276535,-0.61193544
Standing,1.576663037816e+12,-0.17455903,-0.71588594,-0.6050705
Standing,1.576663037949e+12,-0.18240356,-0.71686554,-0.59232175
Standing,1.576663038036e+12,-0.1833847,-0.71686554,-0.6021286
Standing,1.576663038427e+12,-0.17553863,-0.71882784,-0.5972244
Standing,1.576663038432e+12,-0.17750092,-0.7207886,-0.5991867
Standing,1.576663038679e+12,-0.17553863,-0.71686554,-0.59232175
Standing,1.576663038699e+12,-0.17651978,-0.71980745,-0.59820557
Standing,1.576663038778e+12,-0.18044281,-0.71980745,-0.5962448
Standing,1.576663039233e+12,-0.17651978,-0.71980745,-0.6001663
Standing,1.576663039246e+12,-0.17946167,-0.71882784,-0.5933029
Standing,1.576663039269e+12,-0.17651978,-0.7217697,-0.59820557
Standing,1.576663039301e+12,-0.18044281,-0.71882784,-0.59820557
Standing,1.576663034119e+12,-0.20201722,-0.7247116,-0.58741915
Standing,1.576663034542e+12,-0.19711304,-0.72373044,-0.5893799
Standing,1.576663034642e+12,-0.20103607,-0.7247116,-0.58839875
Standing,1.576663034961e+12,-0.19809417,-0.7217697,-0.5933029
Standing,1.576663035169e+12,-0.19809417,-0.71882784,-0.58741915
Standing,1.576663035404e+12,-0.18828735,-0.71588594,-0.5933029
Standing,1.576663035472e+12,-0.17455903,-0.705098,-0.62762606
Standing,1.576663036046e+12,-0.16867371,-0.7109817,-0.623703
Standing,1.576663036105e+12,-0.16965485,-0.71294403,-0.6109543
Standing,1.576663036484e+12,-0.16867371,-0.7149048,-0.6138962
Standing,1.576663036518e+12,-0.17063598,-0.71294403,-0.6031097
