activity,timeStamp,x,y,z,,,
Standing,1.58E+12,0.008825684,0.03432312,-0.9826263,4,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9826263,15,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9826263,5,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9836075,16,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9836075,4,,
Standing,1.58E+12,0.008825684,0.03334198,-0.9845871,36,,
Standing,1.58E+12,0.008825684,0.03334198,-0.9845871,9,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9845871,13,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9845871,10,,
Standing,1.58E+12,0.009806824,0.030400086,-0.9836075,28,,
Standing,1.58E+12,0.009806824,0.030400086,-0.9836075,5,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9826263,13,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9826263,5,,
Standing,1.58E+12,0.013729858,0.031381227,-0.9816452,35,,
Standing,1.58E+12,0.013729858,0.031381227,-0.9816452,6,,
Standing,1.58E+12,0.013729858,0.028439332,-0.98066556,14,,
Standing,1.58E+12,0.013729858,0.028439332,-0.98066556,11,,
Standing,1.58E+12,0.012748718,0.02942047,-0.98066556,13,,
Standing,1.58E+12,0.012748718,0.02942047,-0.98066556,15,,
Standing,1.58E+12,0.012748718,0.030400086,-0.98066556,20,,
Standing,1.58E+12,0.012748718,0.030400086,-0.98066556,6,,
Standing,1.58E+12,0.011767578,0.031381227,-0.98066556,14,,
Standing,1.58E+12,0.011767578,0.031381227,-0.98066556,6,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9796845,14,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9796845,4,,
Standing,1.58E+12,0.006864929,0.032362364,-0.9816452,36,,
Standing,1.58E+12,0.006864929,0.032362364,-0.9816452,6,,
Standing,1.58E+12,0.009806824,0.03334198,-0.9796845,13,,
Standing,1.58E+12,0.009806824,0.03334198,-0.9796845,5,,
Standing,1.58E+12,0.009806824,0.03334198,-0.9826263,16,,
Standing,1.58E+12,0.009806824,0.03334198,-0.9826263,4,,
Standing,1.58E+12,0.006864929,0.032362364,-0.9816452,36,,
Standing,1.58E+12,0.006864929,0.032362364,-0.9816452,4,,
Standing,1.58E+12,0.00784607,0.03334198,-0.9796845,16,,
Standing,1.58E+12,0.00784607,0.03334198,-0.9796845,6,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9787033,13,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9787033,4,,
Standing,1.58E+12,0.008825684,0.028439332,-0.9836075,16,,
Standing,1.58E+12,0.008825684,0.028439332,-0.9836075,3,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9826263,36,,
Standing,1.58E+12,0.008825684,0.031381227,-0.9826263,4,,
Standing,1.58E+12,0.009806824,0.031381227,-0.9836075,15,,
Standing,1.58E+12,0.009806824,0.031381227,-0.9836075,8,,
Standing,1.58E+12,0.010787964,0.03334198,-0.9836075,12,,
Standing,1.58E+12,0.010787964,0.03334198,-0.9836075,5,,
Standing,1.58E+12,0.011767578,0.028439332,-0.98066556,15,,
Standing,1.58E+12,0.011767578,0.028439332,-0.98066556,5,,
Standing,1.58E+12,0.010787964,0.031381227,-0.9816452,15,,
Standing,1.58E+12,0.010787964,0.031381227,-0.9816452,7,,
Standing,1.58E+12,0.012748718,0.02942047,-0.9826263,13,,
Standing,1.58E+12,0.012748718,0.02942047,-0.9826263,8,,
Standing,1.58E+12,0.010787964,0.028439332,-0.98066556,11,,
Standing,1.58E+12,0.010787964,0.028439332,-0.98066556,8,,
Standing,1.58E+12,0.00784607,0.02942047,-0.9826263,13,,
Standing,1.58E+12,0.00784607,0.02942047,-0.9826263,5,,
Standing,1.58E+12,0.009806824,0.03334198,-0.9836075,34,,
Standing,1.58E+12,0.009806824,0.03334198,-0.9836075,5,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,14,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,6,,
Standing,1.58E+12,0.011767578,0.030400086,-0.9836075,14,,
Standing,1.58E+12,0.011767578,0.030400086,-0.9836075,6,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9855682,14,,
Standing,1.58E+12,0.009806824,0.032362364,-0.9855682,5,,
Standing,1.58E+12,0.010787964,0.032362364,-0.9826263,21,,
Standing,1.58E+12,0.010787964,0.032362364,-0.9826263,5,,
Standing,1.58E+12,0.008825684,0.03334198,-0.9796845,33,,
Standing,1.58E+12,0.008825684,0.03334198,-0.9796845,14,,
Standing,1.58E+12,0.009806824,0.02942047,-0.9826263,12,,
Standing,1.58E+12,0.009806824,0.02942047,-0.9826263,8,,
Standing,1.58E+12,0.009806824,0.030400086,-0.98066556,21,,
Standing,1.58E+12,0.009806824,0.030400086,-0.98066556,10,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9836075,12,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9836075,7,,
Standing,1.58E+12,0.013729858,0.031381227,-0.9796845,31,,
Standing,1.58E+12,0.013729858,0.031381227,-0.9796845,9,,
Standing,1.58E+12,0.012748718,0.03334198,-0.9796845,12,,
Standing,1.58E+12,0.012748718,0.03334198,-0.9796845,9,,
Standing,1.58E+12,0.012748718,0.030400086,-0.98066556,9,,
Standing,1.58E+12,0.012748718,0.030400086,-0.98066556,6,,
Standing,1.58E+12,0.012748718,0.030400086,-0.98066556,14,,
Standing,1.58E+12,0.012748718,0.030400086,-0.98066556,3,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,39,,
Standing,1.58E+12,0.011767578,0.031381227,-0.9816452,16,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9826263,9,,
Standing,1.58E+12,0.010787964,0.030400086,-0.9826263,6,,
Standing,1.58E+12,0.012748718,0.032362364,-0.9796845,14,,
Standing,1.58E+12,0.012748718,0.032362364,-0.9796845,3,,
Standing,1.58E+12,0.015690614,0.03530426,-0.9796845,11,,
Standing,1.58E+12,0.015690614,0.03530426,-0.9796845,5,,
Standing,1.58E+12,0.011767578,0.032362364,-0.98066556,34,,
Standing,1.58E+12,0.011767578,0.032362364,-0.98066556,5,,
Standing,1.58E+12,0.013729858,0.03530426,-0.9787033,15,,
Standing,1.58E+12,0.013729858,0.03530426,-0.9787033,5,,
