activity,timeStamp,x,y,z,,,
Downstairs,1.58E+12,-0.85023654,1.1846435,0.28341216,19,2078,
Downstairs,1.58E+12,-0.1892685,1.2797683,0.4422806,22,2100,
Downstairs,1.58E+12,-0.6854843,1.0718673,0.4766037,39,2139,
Downstairs,1.58E+12,-0.73157656,1.0434281,0.48542938,18,2157,
Downstairs,1.58E+12,-0.6943115,1.0120468,0.4893524,20,2177,
Downstairs,1.58E+12,-0.59232175,0.7041168,0.41972503,40,2217,
Downstairs,1.58E+12,-0.4981781,0.6393936,0.39913025,20,2237,
Downstairs,1.58E+12,-0.43051147,0.58741915,0.36480713,20,2257,
Downstairs,1.58E+12,-0.43247375,0.5354431,0.31381226,20,2277,
Downstairs,1.58E+12,-0.43149263,0.5256363,0.3491165,41,2318,
Downstairs,1.58E+12,-0.40991822,0.46287385,0.3569626,24,2342,
Downstairs,1.58E+12,-0.48739013,0.3883438,0.24418488,14,2356,
Downstairs,1.58E+12,-0.3569626,0.3854019,0.37755585,40,2396,
Downstairs,1.58E+12,-0.39618835,0.44129944,0.37461394,7,2403,
Downstairs,1.58E+12,-0.415802,0.52465516,0.37461394,32,2435,
Downstairs,1.58E+12,-0.4981781,0.64233553,0.3755951,11,2446,
Downstairs,1.58E+12,-0.51779175,0.6295868,0.41776276,15,2461,
Downstairs,1.58E+12,-0.61193544,0.7247116,0.42658997,24,2485,
Downstairs,1.58E+12,-0.623703,0.80022275,0.44816437,29,2514,
Downstairs,1.58E+12,-0.7001953,0.89927065,0.38736266,20,2534,
Downstairs,1.58E+12,-0.8110107,0.92378694,0.30792847,20,2554,
Downstairs,1.58E+12,-0.88652194,0.87279207,0.19319153,20,2574,
Downstairs,1.58E+12,-0.8472946,0.7845322,0.13631287,21,2595,
Downstairs,1.58E+12,-0.80022275,0.7178467,-0.012748718,37,2632,
Downstairs,1.58E+12,-1.0071427,0.8139526,0.0578598,21,2653,
Downstairs,1.58E+12,-0.9620331,0.89436644,0.14906159,40,2693,
Downstairs,1.58E+12,-0.77570647,0.7972809,0.21868896,9,2702,
Downstairs,1.58E+12,-0.64920044,0.7041168,0.17750092,30,2732,
Downstairs,1.58E+12,-0.68940735,0.667833,0.16181031,19,2751,
Downstairs,1.58E+12,-0.65998685,0.5256363,0.14415741,22,2773,
Downstairs,1.58E+12,-0.5442688,0.43345338,0.14219666,22,2795,
Downstairs,1.58E+12,-0.24418488,0.5442688,0.18142243,36,2831,
Downstairs,1.58E+12,-0.35303956,0.49033204,0.16181031,20,2851,
Downstairs,1.58E+12,-0.5707474,0.40991822,0.24516602,23,2874,
Downstairs,1.58E+12,-0.6511612,0.47562256,0.26772156,36,2910,
Downstairs,1.58E+12,-0.52465516,0.5295593,0.19809417,7,2917,
Downstairs,1.58E+12,-0.57957304,0.505043,0.11571808,13,2930,
Downstairs,1.58E+12,-1.0228332,0.52073365,0.037265014,42,2972,
Downstairs,1.58E+12,-0.7855133,0.82964325,0.15984802,8,2980,
Downstairs,1.58E+12,-0.7747253,0.8786758,0.14121552,29,3009,
Downstairs,1.58E+12,-0.82375795,0.9051544,0.1284668,8,3017,
Downstairs,1.58E+12,-1.1110932,1.069905,-0.059820555,31,3048,
Downstairs,1.58E+12,-0.45895082,1.1022675,-0.31087035,20,3068,
Downstairs,1.58E+12,0.014709473,1.1071701,0.05393677,21,3089,
Downstairs,1.58E+12,-0.38246003,1.2464249,0.15200348,20,3109,
Downstairs,1.58E+12,-0.58839875,1.1483581,0.29420012,40,3149,
Downstairs,1.58E+12,-0.66881406,1.0179306,0.20299836,20,3169,
Downstairs,1.58E+12,-0.7747253,0.9090759,0.121601865,25,3194,
Downstairs,1.58E+12,-0.52367556,0.75020903,0.18240356,37,3231,
Downstairs,1.58E+12,-0.47169954,0.80316466,0.060801696,16,3247,
Downstairs,1.58E+12,-0.4128601,0.59134066,0.2667404,39,3286,
Downstairs,1.58E+12,-0.3118515,0.4736618,0.21476594,20,3306,
Downstairs,1.58E+12,-0.36480713,0.5589798,0.15788727,41,3347,
